Age
01d
15d
36d
08d
22d
08d
01d
01d
08d
15d
29d
22d
29d
36d
01d
08d
22d
15d
08d
08d
15d
15d
08d
15d
15d
15d
01d
22d
15d
01d
01d
15d
22d
36d
22d
15d
01d
36d
22d
36d
08d
29d
29d
29d
15d
29d
36d
15d
01d
29d
08d
08d
36d
29d
29d
36d
01d
29d
01d
29d
36d
29d
15d
08d
36d
01d
15d
15d
29d
36d
29d
01d
08d
22d
29d
01d
08d
29d
08d
36d
22d
15d
08d
01d
36d
36d
29d
22d
08d
15d
36d
01d
15d
22d
01d
29d
29d
36d
01d
01d
08d
01d
29d
29d
36d
36d
08d
36d
36d
15d
29d
01d
36d
01d
15d
22d
08d
22d
01d
08d
22d
01d
15d
36d
15d
15d
29d
08d
29d
36d
08d
08d
22d
01d
36d
36d
22d
08d
15d
29d
08d
36d
29d
29d
15d
22d
29d
01d
15d
01d
22d
15d
01d
29d
15d
08d
01d
22d
29d
01d
01d
36d
08d
29d
22d
36d
08d
15d
36d
22d
08d
36d
08d
15d
36d
15d
01d
36d
22d
29d
15d
22d
22d
22d
08d
01d
08d
08d
15d
29d
22d
15d
29d
08d
36d
36d
08d
29d
01d
29d
15d
08d
15d
36d
01d
01d
36d
08d
29d
15d
15d
15d
22d
36d
01d
36d
29d
29d
22d
08d
22d
01d
15d
15d
36d
15d
22d
08d
29d
08d
29d
15d
08d
22d
22d
01d
36d
29d
22d
08d
08d
29d
36d
08d
08d
08d
08d
08d
01d
36d
36d
15d
01d
15d
36d
22d
29d
15d
08d
29d
15d
36d
22d
15d
01d
08d
36d
36d
15d
22d
29d
29d
15d
08d
36d
22d
01d
36d
36d
22d
15d
22d
08d
36d
29d
08d
01d
15d
29d
08d
08d
01d
08d
15d
15d
36d
01d
08d
15d
08d
15d
08d
08d
36d
36d
29d
15d
22d
01d
36d
29d
01d
08d
01d
36d
01d
08d
36d
22d
01d
01d
01d
01d
29d
15d
15d
29d
15d
08d
36d
22d
08d
08d
01d
01d
08d
15d
29d
15d
08d
08d
36d
22d
29d
15d
01d
08d
29d
22d
01d
22d
29d
36d
29d
29d
29d
15d
36d
22d
36d
22d
36d
29d
01d
29d
15d
22d
15d
22d
22d
36d
36d
22d
22d
15d
36d
15d
08d
01d
01d
29d
15d
36d
36d
22d
36d
29d
29d
15d
08d
36d
08d
22d
29d
01d
01d
22d
22d
15d
22d
01d
15d
15d
22d
36d
29d
08d
22d
01d
36d
29d
22d
22d
36d
01d
08d
22d
01d
22d
01d
15d
08d
36d
15d
15d
36d
15d
22d
08d
15d
01d
08d
22d
01d
08d
08d
36d
15d
15d
01d
15d
36d
15d
01d
08d
29d
22d
22d
15d
22d
08d
29d
29d
15d
08d
36d
29d
08d
36d
29d
08d
36d
29d
36d
08d
08d
15d
15d
01d
22d
22d
01d
08d
29d
29d
08d
08d
01d
01d
15d
01d
29d
08d
01d
29d
36d
08d
29d
22d
01d
08d
22d
29d
08d
15d
01d
01d
08d
15d
22d
01d
01d
22d
29d
08d
22d
08d
36d
01d
36d
01d
08d
08d
15d
36d
36d
36d
22d
22d
15d
29d
01d
01d
29d
15d
36d
08d
08d
29d
01d
01d
36d
15d
22d
01d
01d
08d
36d
15d
15d
01d
22d
01d
01d
36d
29d
29d
01d
36d
36d
36d
15d
29d
01d
01d
01d
22d
01d
36d
15d
36d
36d
